User_name,Review Title,Review Content,,app name
Jeremy,Virtual meetings with lots of features,"As a coach, I did not want to limit my clients to driving distance, nor do I want to keep a dedicated office that I can bring ""strangers"" into, outside of my home.  Zoom not only allows me to meet seamlessly but allows my clients to meet comfortably in their own home (and not have to worry about baby sitters, etc).   The ease of use and multi-platform support removes any compatibility worries when setting meetings. ",,zoom
Jennifer,Zoom has allowed us to continue holding our meetings,"I've been utilizing Zoom to talk and meet with my collaborators while we're isolated gathering. With the current pandemic, Zoom has become a practically day by day program that I abuse for both work gatherings and virtual meetups with companions. I truly like how you'll have various clients on straightforwardly. I'm prepared to speak with various video calls. I abuse them for chapel meeting week by week and that they are incredible.",,zoom
Kristin,Zoom Meetings and Chat Review,We've used many different software programs to deliver our monthly webinar content and Zoom has proven to be the best program yet. It's ease of use and interactive functions are far beyond what we've used in the past and it allows us to successfully connect to our management teams monthly to deliver timely updates. ,,zoom
Uelinton,Our efficiency increased with Zoom,"We use Zoom daily for meetings with many participants. The recording feature is very helpful and, provide us with an opportunity to replicate knowledge and to record important meetings.",,zoom
Marilyn,"Great Online Meetings, Great Price","The Chatbox provides a valuable written transcript of the comments.  We also use the chatbox for Board voting so we know if there are differences of opinion that need to be discussed.   Recording is easy, so we can review the discussion or allow people who missed the meeting to view it.  We love the new Breakout Rooms, and Polls are great for maintaining interest.",,zoom
Ahmet Fatih,No Latency Video Meeting with Robust Infrastructure,We switched to Zoom recently and it has been serving very well. All our colleagues can easily meet online while they are doing their job at home.  It was really easy to implement and deploy on our environment.,,zoom
Nikola,Fun way to remote working ,"We started with free option at the beginning which allows 100 participant per meeting. The number of participants in a meeting is mostly less than 100 for our company. However, free option limits meeting period time to 40 minute. You need to restart the meeting every 40 minute. Therefore, after testing it for a week, we subscribed to Zoom. Overall, I am happy we chose Zoom for online meetings. In specific, online meeting tools becomes essential during these lockdown period and Zoom proved itself to us with its features and performance.",,zoom
Andy,Best audio and video conferencing we've used easily,"We needed a reliable audio and video conferencing platform to use for small meetings, all hands meetings, and training, among other things.  Zoom has always fit those needs perfectly.  Meetings are easy to setup, record and the quality is always top notch.",,zoom
Kerry,"Steeper Learning Curve than Hangouts, But Better Results","The quality of your meetings is much better than most videoconferencing platforms, so if it's a little less intuitive, it's probably still worth it.  And the free tier is still great as long as your meetings are 40 minutes long or less.",,zoom
Thao,Only use when most people use it for meetings,"If the speaker has bad internet quality, it will be super hard to concentrate and understand what's going on in the lecture. Not sure if Zoom is capable of tuning down the video quality, for example, to compensate for the bad quality audio. It doesn't seem to be the case whenever my host got cut out. ",,zoom
Anonymous,Robust and dependable conferencing platform for remote working,"I usually conduct site inspections by going to the site, but due to the limitations arisen as a result of the pandemic I have to conduct these meetings and inspections virtually. The picture quality is top-notch and there is no lag especially in video. With a good internet connection, there is literally nothing we can't do as a remote team. Previously we were deploying Zoom as a conferencing tool for only international conferencing, or limited requirements, however now we are utilizing it for all of our meetings, video conferences and audio calls on a daily basis.",,zoom
Anonymous,Do You Zoom?,"The software has been essential to our business. We use the video and audio connection, the screen sharing, the white board, and the chat functions.",,zoom
Anonymous,Doesn't deserve the bad press,"Our organization is able to work around the world, thanks to Zoom. We couldn't do our jobs without it. Videoconferencing isn't a perfect replacement for in-person communication, but it's a lot better than just email or text. And lots of people are using it for non-business purposes these days and experiencing the benefits of video calls to replace social engagements, or just to facilitate conversations with people who are far away. The negative press is really unfortunate, because it's not the platform's fault - but the fault of malicious people using it in unintended ways. If Zoom wasn't so successful, it wouldn't be getting attention from people with evil intentions. We'll still use Zoom long after this has blown over, and are thankful for how it enables us to work efficiently even with a distributed team.",,zoom
Suzana,Modern Meetings Made Easy!,"Overall, Zoom Meetings & Chat has become a great way to get work done in a simple manner. Everyone is online now, and in person conferences are outdated. Whether you're working from home, remotely, or need several members in different states to jump on a conference, and watch your screen for training purposes, I would recommend it.  Overall it is pretty easy to use, but I would definitely RUN A TEST MEETING FIRST with at least one other person so you can guide colleagues accessing it for the first time.  I have used other video meetings, and Zoom has worked seamlessly for me. Of course you don't need to use it just for business, my son's classroom uses it, as well as you can chat with family members, change backgrounds for fun interaction too.   I will likely continue to use Zoom Meetings & Chat for a long while.",,zoom
Madeleine,Surprisingly Good For Distance Learning,"Right now, my company is moving all language classes to Zoom for the foreseeable future until further notice, in order to commit to social distancing during the coronavirus crisis within the Washington, D.C., and New York City metropolitan regions. Although we are still within the first two weeks of transition, it has been a smooth one overall and both teachers and students (as well as company administrators) seem pleased enough in spite of the vast differences between virtual learning and in-person classes.",,zoom
Derek,Zoom beats rivals with better video quality and individual preferences,"We have remote team members all over the World and we have a standup everyday. Using good video really does make the personal connection stronger and the team works better with a stronger human bond.  The Slack integration is great. On a whim, we can go from chatting to Zoom by using ""/zoom"" in the Slack channel. This takes an issue from email, tickets, and chatting to a shared video conference where we can share screens and see what people are looking at and get resolutions faster.",,zoom
Melody,"Great for collaborative meetings where participants are in different locations, easy to use","For a period of time, I solely worked from home because I had young children. Zoom was a game changer for me! I was able to be present for staff meetings, have regular meetings with my boss(es) to discuss tasks & meet with other staff when needed to coordinate projects or train others. It was instrumental in allowing me to work from home and still stay connected to the team and on the right path with my tasks! ",,zoom
Rick,It Works,"Not great. It connects and works, as long as you're not using AirPods. ",,zoom
Lee,Best way to communicate via the web: Zoom! ,"Zoom brings so much to the table. It really is a dream come true software. People can save on travel, share their work and communicate their ideas from the comfort of their own home or office. What a great software!!!!!",,zoom
Anonymous,Meetings and Calls without worry of time and distance,"Overall zoom is a great tool for meetings and webinar. People can also join without host joining the call. So, you don't have to wait till host's join. It's quick and the phone app works well to. I like the UI It's simple and easy to send an invite. We used to do all meeting including international ones with zoom only and if the internet is good, I never faced and drop or lags in the call. ",,zoom
Michelle,It works internationally as well,"We are all able to share screens and see the same content together, at the same time. We do not have to email our spreadsheets or presentations before the meeting, constantly reminding everyone where to look or what we are discussing to stay on topic. We are able to see our team's faces for better communication, which leads to better understanding and interaction.",,zoom
Marki,Zoom: Easy to Learn and Should Replace Any Other Video Conferencing Software You Have,"Overall my experience with Zoom has been overwhelmingly positive. Once you get over the initial bumps in the road to figure out how to best use it, it shines as a software. I have never had a dropped, stalled, or buffered call, I have never had audio issues, it really is a cut above the rest in that regard. After using Zoom I can't imagine going back to competitors like Skype or Google Hangouts for video conferencing.",,zoom
Michael,Best Video Collaboration Tool on the Market,"Zoom has been a great investment for us.  We have never had software or any tool so quickly adopted by our users.  By using Zoom, we have cut costs on video conferencing and allowed ourselves to do more with less in regards to conferencing.  It has become the go to collaboration tool, and more user are doing video conferencing/screen sharing than they ever did with another tool. ",,zoom
Jason,Zoom Review ,I am very happy with our choice to move to Zoom. It is not very resource intensive and is more cost effective than Webex. No additional 'Firewall work' was needed to get it going on our network and the interface is clean. The web admin console is easy to use and makes managing licenses a breeze. We are able to save on the amount of licenses needed as non licensed user still has 45 minutes of meeting time. Users are normally prompted very clearly about how soon the 45min time will elapse and it helps to wrap up meetings. I highly recommend Zoom for any size organization. ,,zoom
Cay,Zoom makes Customer Support Stress Free,"Zoom meetings are reliable, clear, and easy to use most of the time. ",,zoom
